1.qq.com                      	101.89.15.139
wx.qq.com                     	101.89.47.179
x2.tcdn.qq.com                	58.216.96.14, 58.216.96.15, 58.216.96.32, 58.216.96.38
wx1.qq.com                    	101.89.47.179
yy.qq.com                     	58.216.96.15, 58.216.96.32, 58.216.96.38
zs.qq.com                     	116.211.185.99, 220.169.154.226
yoyo.qq.com                   	106.225.221.190, 106.225.221.51, 106.225.221.55, 113.142.166.73, 117.21.231.103, 117.34.18.91, 123.184.21.31, 124.225.75.125, 124.225.75.251, 125.74.5.183, 150.138.173.114, 150.138.173.99
zd.qq.com                     	119.147.190.135
analysis.qq.com               	183.47.104.116, 183.47.104.95
artist.qq.com                 	119.84.150.54
b.qq.com                      	183.47.102.181, 183.47.102.216
ad.qq.com                     	113.96.213.96
class.qq.com                  	119.147.106.51, 119.147.106.53, 119.147.106.54, 119.147.106.56, 119.147.106.57, 119.147.106.59, 119.147.106.63, 119.147.106.65, 125.88.199.175, 14.29.100.253, 183.61.175.182
auto.qq.com                   	121.14.77.201, 121.14.77.221
114.qq.com                    	183.47.104.102, 183.47.126.125
3d.qq.com                     	116.211.185.99, 220.169.154.226
cdc.qq.com                    	183.47.102.186
ams.qq.com                    	116.211.185.99, 220.169.154.226
da.qq.com                     	116.211.185.99, 220.169.154.226
c2.qq.com                     	116.211.185.99, 220.169.154.226
ns1.qq.com                    	101.89.19.165, 157.255.246.101, 183.36.112.46, 203.205.220.251
og.qq.com                     	119.147.190.135
qb.qq.com                     	113.108.28.242
rl.qq.com                     	58.216.96.14, 58.216.96.15, 58.216.96.32, 58.216.96.38
p2p.qq.com                    	10.161.129.46
pet.qq.com                    	58.216.96.14, 58.216.96.15, 58.216.96.32, 58.216.96.38
tech.qq.com                   	121.14.77.201, 121.14.77.221
